input,time,date,task_detail,new_column
schedule a meeting with john tomorrow at 2 pm,2 pm,tomorrow,meeting with john,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 'date', 0, 'time', 'time']"
remind me to buy groceries on friday at 6 pm,6 pm,friday,buy groceries,"[0, 0, 0, 'task_detail', 'task_detail', 0, 'date', 0, 'time', 'time']"
schedule a call with sarah for next monday at 10 am,10 am,next monday,call with sarah,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 0, 0, 0, 'time', 'time']"
set a reminder to submit the project report by 5 pm tomorrow,5 pm,tomorrow,submit the project report,"[0, 0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'time', 'time', 'date']"
remind me to water the plants on sunday morning,morning,sunday,water the plants,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'date', 'time']"
schedule a meeting with the team for thursday at 330 pm,330 pm,thursday,meeting with the team,"[0, 0, 'task_detail', 'task_detail', 'task_detail', 'task_detail', 0, 'date', 0, 'time', 'time']"
remind me to call the doctor on the 15th of this month at 2 pm,200 pm,15th of this month,call the doctor,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'task_detail', 0, 0, 0, 0, 0, 0, 'time']"
set a reminder for the webinar on saturday at 11 am,1100 am,saturday,webinar,"[0, 0, 0, 0, 0, 'task_detail', 0, 'date', 0, 0, 'time']"
schedule a haircut appointment for next friday at 230 pm,230 pm,next friday,haircut appointment,"[0, 0, 'task_detail', 'task_detail', 0, 0, 0, 0, 'time', 'time']"
remind me to check the mail on monday evening at 7 pm,700 pm,monday,check the mail,"[0, 0, 0, 'task_detail', 'task_detail', 'task_detail', 0, 'date', 0, 0, 0, 'time']"
set a reminder to submit the expense report by the end of the day tomorrow,end of the day,tomorrow,submit the expense report,"[0, 0, 0, 0, 'task_detail', 'time', 'task_detail', 'task_detail', 0, 'time', 'time', 'time', 'time', 'time', 'date']"
