intent,datetime,query
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to set family tasks
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to set family tasks
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to set family tasks
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to play overwatch with friends
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to play overwatch with friends
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to play overwatch with friends
reminder/set_reminder,25:43:reminder/todo,i want to be reminded to log in to fortnite
reminder/set_reminder,25:43:reminder/todo,i want to be reminded to log in to fortnite
reminder/set_reminder,25:43:reminder/todo,i want to be reminded to log in to fortnite
reminder/set_reminder,25:41:reminder/todo,I want to be reminded to finish my report
reminder/set_reminder,25:41:reminder/todo,I want to be reminded to finish my report
reminder/set_reminder,25:41:reminder/todo,I want to be reminded to finish my report
reminder/set_reminder,25:39:reminder/todo,I want to be reminded to brush my teeth
reminder/set_reminder,25:39:reminder/todo,I want to be reminded to brush my teeth
reminder/set_reminder,25:39:reminder/todo,I want to be reminded to brush my teeth
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to file those bug reports
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to file those bug reports
reminder/set_reminder,25:47:reminder/todo,I want to be reminded to file those bug reports
reminder/set_reminder,25:56:reminder/todo,I want to be reminded to play baseball with the brothers
reminder/set_reminder,25:56:reminder/todo,I want to be reminded to play baseball with the brothers
reminder/set_reminder,25:56:reminder/todo,I want to be reminded to play baseball with the brothers
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to feed all animals
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to feed all animals
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to feed all animals
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to clean the sheets
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to clean the sheets
reminder/set_reminder,25:41:reminder/todo,i want to be reminded to clean the sheets
reminder/set_reminder,25:35:reminder/todo,I want to be reminded to file taxes
reminder/set_reminder,25:35:reminder/todo,I want to be reminded to file taxes
reminder/set_reminder,25:35:reminder/todo,I want to be reminded to file taxes
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to finish seasoning the steaks
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to finish seasoning the steaks
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to finish seasoning the steaks
reminder/set_reminder,25:50:reminder/todo,i want to be reminded to finish setting devices up
reminder/set_reminder,25:50:reminder/todo,i want to be reminded to finish setting devices up
reminder/set_reminder,25:50:reminder/todo,i want to be reminded to finish setting devices up
reminder/set_reminder,25:51:reminder/todo,i want to be reminded to finish interview questions
reminder/set_reminder,25:51:reminder/todo,i want to be reminded to finish interview questions
reminder/set_reminder,25:51:reminder/todo,i want to be reminded to finish interview questions
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to finish reviewing candidates
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to finish reviewing candidates
reminder/set_reminder,25:52:reminder/todo,i want to be reminded to finish reviewing candidates
reminder/set_reminder,25:43:reminder/todo,i want to be reminded to complete the build
reminder/set_reminder,25:43:reminder/todo,i want to be reminded to complete the build
reminder/set_reminder,25:43:reminder/todo,i want to be reminded to complete the build
reminder/set_reminder,26:38:reminder/todo,i don't want to forget to eat my lunch
reminder/set_reminder,26:38:reminder/todo,i don't want to forget to eat my lunch
reminder/set_reminder,26:38:reminder/todo,i don't want to forget to eat my lunch
reminder/set_reminder,26:42:reminder/todo,i don't want to forget to feed the animals
reminder/set_reminder,26:42:reminder/todo,i don't want to forget to feed the animals
reminder/set_reminder,26:42:reminder/todo,i don't want to forget to feed the animals
reminder/set_reminder,26:54:reminder/todo,I don't want to forget to bake that cake for the party
reminder/set_reminder,26:54:reminder/todo,I don't want to forget to bake that cake for the party
reminder/set_reminder,26:54:reminder/todo,I don't want to forget to bake that cake for the party
reminder/set_reminder,26:47:reminder/todo,i don't want to forget to draft my fantasy team
reminder/set_reminder,26:47:reminder/todo,i don't want to forget to draft my fantasy team
reminder/set_reminder,26:47:reminder/todo,i don't want to forget to draft my fantasy team
reminder/set_reminder,31:62:reminder/todo,i don't want to be reminded to grab a quick nap before driving
reminder/set_reminder,31:62:reminder/todo,i don't want to be reminded to grab a quick nap before driving
reminder/set_reminder,31:62:reminder/todo,i don't want to be reminded to grab a quick nap before driving
reminder/set_reminder,26:53:reminder/todo,I don't want to forget to watch Sunday Night Football
reminder/set_reminder,26:53:reminder/todo,I don't want to forget to watch Sunday Night Football
