input,time,date,task_detail
Schedule a meeting with John tomorrow at 2 PM.,2 PM,Tomorrow,Meeting with John
Remind me to buy groceries on Friday at 6 PM.,6 PM,Friday,Buy groceries
Schedule a call with Sarah for next Monday at 10 AM.,10 AM,next Monday,Call with Sarah
Set a reminder to submit the project report by 5 PM tomorrow.,5 PM,tomorrow,Submit the project report
Remind me to water the plants on Sunday morning.,morning,Sunday,Water the plants
Schedule a meeting with the team for Thursday at 3:30 PM.,3:30 PM,Thursday,Meeting with the team
Remind me to call the doctor on the 15th of this month at 2 PM.,2:00 PM,15th of this month,Call the doctor
Set a reminder for the webinar on Saturday at 11 AM.,11:00 AM,Saturday,Webinar
Schedule a haircut appointment for next Friday at 2:30 PM.,2:30 PM,next Friday,Haircut appointment
Remind me to check the mail on Monday evening at 7 PM.,7:00 PM,Monday,Check the mail
Set a reminder to submit the expense report by the end of the day tomorrow.,end of the day,tomorrow,Submit the expense report
Set a reminder to give dogs heartworm medication on the 15th of each month.,,15th of each month,Give dogs heartworm medication
Set an alarm to remind me to drink water every 2 hours.,every 2 hours,,Drink water
Reminder to make a dentist appointment.,,,Make a dentist appointment
Remind me to check on my pizza in 14 minutes.,,,Check on my pizza
Remind me about my doctor's appointment next Wednesday on Tuesday.,,Tuesday,Doctor's appointment next Wednesday
Remind me of my meeting tonight at 7 at the EMS building.,7:00 PM,,Meeting tonight at the EMS building
Repeat this reminder weekly.,,weekly,Repeat
Remind me next Tuesday that I have a doctor's appointment.,,next Tuesday,Doctor's appointment
Remind me of my Doctor's appointment.,,,Doctor's appointment
Can you send me a reminder to bring my coupons with me on Thursday?,,Thursday,Bring my coupons with me
Remind me again tomorrow.,,tomorrow,Remind me again
Remind me about ordering pants for my daughter.,,,Ordering pants for my daughter
Set a reminder alarm for 2 PM.,2:00 PM,,reminder alarm
Remind me about my dentist appointment at 2:00 PM on Wednesday.,2:00 PM,Wednesday,Dentist appointment
Remind me to pick up Raymond at 3 PM.,3 PM,,Pick up Raymond
Remind me about Evelyn's play on Tuesday at 6 PM.,6 PM,Tuesday,Evelyn's play
Remind me to take my pills tomorrow morning.,morning,tomorrow,Take pills
Remind me an hour before my appointment.,,,An hour before my appointment
Add a reminder to add washer fluid to my car.,,,Add washer fluid to my car
Set a reminder called 'golf' for this Sunday at 7 AM,7 AM,Sunday,Golf
Remind me to pick up dry cleaning this afternoon.,afternoon,,Pick up dry cleaning
Reminder to complete the list.,,,Complete the list
Add a reminder for next Sunday's event.,,next Sunday,event
Add a reminder for the dance recital on Friday at 2 PM.,2 PM,Friday,Dance recital
Remind me of my appointment with my insurance agent at 10 tomorrow.,10,tomorrow,Insurance agent appointment
Remind me of my dinner reservations tonight.,,tonight,Dinner reservations
Let's set a reminder tomorrow that it's a week until payday.,,tomorrow,A week until payday
"I need to go grocery shopping after work, please put this on the calendar and remind me at 6 PM today.",6 PM,today,Go grocery shopping after work
Remind me every hour until I cancel.,every hour,,
Please remind me what time the movie starts tomorrow.,,tomorrow,What time the movie starts
Remind me to pick up bread today.,,today,Pick up bread
Add a reminder to cancel HBO on 9/23/17.,,9/23/17,Cancel HBO
Remind me about my date tomorrow at 3 PM.,3 PM,tomorrow,Date
Remind me of my doctor's appointment at 10:15 on Wednesday.,10:15,Wednesday,Doctor's appointment
Add a reminder to buy eggs tomorrow morning.,morning,tomorrow,Buy eggs
Add a reminder to go to the mechanic on Monday at 11:00 AM.,11 AM,Monday,Go to the mechanic
Schedule a reminder for tomorrow.,,tomorrow,
Enable reminder.,,,Enable reminder
Remind me I have a doctor appointment at 9.,9 AM,,Doctor appointment
Remind me of my appointments tomorrow.,,tomorrow,Appointments
Remind me to buy milk at Safeway after August 25th.,,August 25th,Buy milk at Safeway
Remind me to take my dog out at 5:30.,5:30 PM,,Take dog out
Remind me when Game of Thrones comes back on air.,,,Game of Thrones comes back
Add a reminder to go work out today.,,today,Go work out
Remind me of the meeting today.,,today,Meeting
Remind me to buy milk for tomorrow.,,tomorrow,Buy milk for tomorrow
Weekly reminder to take out trash.,,Weekly,Take out trash
Remind me when I'm at the store to buy pickles.,,,Buy pickles
Remind me 24 hours before my anniversary.,24 hours,anniversary,
Games of Thrones reminder.,,,Games of Thrones
Remind me of the dog's grooming appointment tomorrow at 10 AM.,10 AM,tomorrow,Dog's grooming appointment
I need to get milk for the store. Please set a reminder.,,,Get milk for the store
Remind me to buy eggs at Acme this weekend.,,weekend,Buy eggs at Acme
