input,indices
schedule a meeting with john tomorrow at 2 pm,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'B-date', 'O', 'B-time', 'I-time']"
remind me to buy groceries on friday at 6 pm,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'B-time', 'I-time']"
schedule a call with sarah for next monday at 10 am,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'O', 'O', 'B-time', 'I-time']"
set a reminder to submit the project report by 5 pm tomorrow,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-time', 'I-time', 'B-date']"
remind me to water the plants on sunday morning,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date', 'B-time']"
schedule a meeting with the team for thursday at 330 pm,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'B-time', 'I-time']"
remind me to call the doctor on the 15th of this month at 2 pm,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'O', 'O', 'O', 'O', 'O', 'O', 'B-time']"
set a reminder for the webinar on saturday at 11 am,"['O', 'O', 'O', 'O', 'O', 'B-task_detail', 'O', 'B-date', 'O', 'O', 'B-time']"
schedule a haircut appointment for next friday at 230 pm,"['O', 'O', 'B-task_detail', 'I-task_detail', 'O', 'O', 'O', 'O', 'B-time', 'I-time']"
remind me to check the mail on monday evening at 7 pm,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date', 'O', 'O', 'O', 'B-time']"
set a reminder to submit the expense report by the end of the day tomorrow,"['O', 'O', 'O', 'O', 'B-task_detail', 'B-time', 'I-task_detail', 'I-task_detail', 'O', 'I-time', 'I-time', 'I-time', 'I-time', 'I-time', 'B-date']"
set a reminder to give dogs heartworm medication on the 15th of each month,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'O', 'O', 'O', 'O']"
set an alarm to remind me to drink water every 2 hours,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'B-time', 'I-time', 'I-time']"
reminder to make a dentist appointment,"['O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
remind me to check on my pizza in 14 minutes,"['O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'O', 'O']"
remind me about my doctors appointment next wednesday on tuesday,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'B-date']"
remind me of my meeting tonight at 7 at the ems building,"['O', 'O', 'O', 'O', 'B-task_detail', 'I-task_detail', 'I-task_detail', 'O', 'I-task_detail', 'I-task_detail', 'I-task_detail', 'I-task_detail']"
